,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dream On,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,audio_features,5MxNLUsfh7uzROypsoO5qe,spotify:track:5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/tracks/5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/audio-analysis/5MxNLUsfh7uzROypsoO5qe,266960,4
Otro Lado,0.739,0.542,11,-9.625,1,0.0509,0.644,0.00937,0.285,0.565,97.008,audio_features,5CW1lIQkzMj5SjFZgM40iE,spotify:track:5CW1lIQkzMj5SjFZgM40iE,https://api.spotify.com/v1/tracks/5CW1lIQkzMj5SjFZgM40iE,https://api.spotify.com/v1/audio-analysis/5CW1lIQkzMj5SjFZgM40iE,237456,4
Fotografía,0.488,0.712,7,-4.42,1,0.0537,0.291,0,0.22,0.636,84.757,audio_features,077PJDyOfA5J8mRb9Ane6v,spotify:track:077PJDyOfA5J8mRb9Ane6v,https://api.spotify.com/v1/tracks/077PJDyOfA5J8mRb9Ane6v,https://api.spotify.com/v1/audio-analysis/077PJDyOfA5J8mRb9Ane6v,238133,4
Wish,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,audio_features,2U5WueTLIK5WJLD7mvDODv,spotify:track:2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/tracks/2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv,194621,4
Si la Ves,0.614,0.664,7,-3.939,1,0.0304,0.233,0,0.459,0.405,115.956,audio_features,7xVEvr9wPXLPU286pCfYM3,spotify:track:7xVEvr9wPXLPU286pCfYM3,https://api.spotify.com/v1/tracks/7xVEvr9wPXLPU286pCfYM3,https://api.spotify.com/v1/audio-analysis/7xVEvr9wPXLPU286pCfYM3,248000,4
Gratitude,0.397,0.00935,1,-26.949,1,0.0478,0.992,0.932,0.0993,0.243,114.002,audio_features,0ya8neyALMaTUpiyvoXCCU,spotify:track:0ya8neyALMaTUpiyvoXCCU,https://api.spotify.com/v1/tracks/0ya8neyALMaTUpiyvoXCCU,https://api.spotify.com/v1/audio-analysis/0ya8neyALMaTUpiyvoXCCU,131804,4
Our Dream,0.656,0.543,2,-8.989,1,0.0496,0.268,0.946,0.384,0.0883,82.012,audio_features,3fXUSX2tgF3cvJtIRtNqH1,spotify:track:3fXUSX2tgF3cvJtIRtNqH1,https://api.spotify.com/v1/tracks/3fXUSX2tgF3cvJtIRtNqH1,https://api.spotify.com/v1/audio-analysis/3fXUSX2tgF3cvJtIRtNqH1,236013,4
Hero of Our Time,0.534,0.903,11,-4.529,0,0.0748,5.15e-05,0.000178,0.493,0.564,135.013,audio_features,15277wUzsEKo3bxCIxFLgk,spotify:track:15277wUzsEKo3bxCIxFLgk,https://api.spotify.com/v1/tracks/15277wUzsEKo3bxCIxFLgk,https://api.spotify.com/v1/audio-analysis/15277wUzsEKo3bxCIxFLgk,140444,4
Salvapantallas - Versión Acústica,0.57,0.579,7,-7.679,1,0.0568,0.532,0,0.0805,0.534,169.737,audio_features,1XSz9rf9nTWIHYgEUKP7Uu,spotify:track:1XSz9rf9nTWIHYgEUKP7Uu,https://api.spotify.com/v1/tracks/1XSz9rf9nTWIHYgEUKP7Uu,https://api.spotify.com/v1/audio-analysis/1XSz9rf9nTWIHYgEUKP7Uu,186227,4
Bella Ciao - Radio Edit,0.659,0.956,6,-3.302,0,0.035,0.00204,0.0148,0.375,0.357,125.998,audio_features,0H9xfZtaL0ZT96vd3KNIDC,spotify:track:0H9xfZtaL0ZT96vd3KNIDC,https://api.spotify.com/v1/tracks/0H9xfZtaL0ZT96vd3KNIDC,https://api.spotify.com/v1/audio-analysis/0H9xfZtaL0ZT96vd3KNIDC,173333,4
Needless to Say,0.646,0.472,5,-12.9,1,0.219,0.553,0.936,0.215,0.401,94.958,audio_features,2L564Gg8T5QvE3I9qc4Okr,spotify:track:2L564Gg8T5QvE3I9qc4Okr,https://api.spotify.com/v1/tracks/2L564Gg8T5QvE3I9qc4Okr,https://api.spotify.com/v1/audio-analysis/2L564Gg8T5QvE3I9qc4Okr,187105,4
Untold,0.739,0.784,1,-4.462,1,0.266,0.0454,0,0.112,0.391,129.97,audio_features,39UBPbii4mLlSz5mWcmWh4,spotify:track:39UBPbii4mLlSz5mWcmWh4,https://api.spotify.com/v1/tracks/39UBPbii4mLlSz5mWcmWh4,https://api.spotify.com/v1/audio-analysis/39UBPbii4mLlSz5mWcmWh4,154273,4
Winter's Love,0.372,0.606,0,-10.768,0,0.0479,0.697,0.0104,0.324,0.301,137.801,audio_features,669Pym4oEtooejY2tt7eG1,spotify:track:669Pym4oEtooejY2tt7eG1,https://api.spotify.com/v1/tracks/669Pym4oEtooejY2tt7eG1,https://api.spotify.com/v1/audio-analysis/669Pym4oEtooejY2tt7eG1,295093,3
