,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Haruka Mirai (From ""Black Clover"")",0.375,0.978,11,-2.881,0,0.304,0.00149,0,0.496,0.518,181.871,audio_features,3aiM3h9Mm0cdF9smruH08b,spotify:track:3aiM3h9Mm0cdF9smruH08b,https://api.spotify.com/v1/tracks/3aiM3h9Mm0cdF9smruH08b,https://api.spotify.com/v1/audio-analysis/3aiM3h9Mm0cdF9smruH08b,88846,4
Orgasmo Para Dos - En Vivo,0.331,0.626,1,-7.331,0,0.033,0.025,0,0.788,0.321,130.679,audio_features,0KFNDXzdcjE6DemnpwLl64,spotify:track:0KFNDXzdcjE6DemnpwLl64,https://api.spotify.com/v1/tracks/0KFNDXzdcjE6DemnpwLl64,https://api.spotify.com/v1/audio-analysis/0KFNDXzdcjE6DemnpwLl64,248747,3
Something Summery,0.643,0.381,11,-11.278,0,0.662,0.917,0.195,0.115,0.496,77.643,audio_features,1fSHWLTwlHMnNIbF2dhP1Z,spotify:track:1fSHWLTwlHMnNIbF2dhP1Z,https://api.spotify.com/v1/tracks/1fSHWLTwlHMnNIbF2dhP1Z,https://api.spotify.com/v1/audio-analysis/1fSHWLTwlHMnNIbF2dhP1Z,74286,1
Seven Deadly Sins,0.454,0.986,2,-3.544,1,0.0919,0.000714,1.33e-05,0.276,0.735,159.971,audio_features,7DpMB4j8Ye6PGU6owqQmfm,spotify:track:7DpMB4j8Ye6PGU6owqQmfm,https://api.spotify.com/v1/tracks/7DpMB4j8Ye6PGU6owqQmfm,https://api.spotify.com/v1/audio-analysis/7DpMB4j8Ye6PGU6owqQmfm,170147,4
Omen - Radio Edit,0.671,0.786,8,-4.857,1,0.14,0.115,0,0.363,0.621,106.057,audio_features,78EQ5LZGgviMU9k0zrqv1r,spotify:track:78EQ5LZGgviMU9k0zrqv1r,https://api.spotify.com/v1/tracks/78EQ5LZGgviMU9k0zrqv1r,https://api.spotify.com/v1/audio-analysis/78EQ5LZGgviMU9k0zrqv1r,196817,4
Sweater Weather - The Voice Performance,0.576,0.686,9,-5.088,0,0.0294,0.0324,0,0.149,0.187,123.994,audio_features,4qgSTpJskMqxPZOinlGWmi,spotify:track:4qgSTpJskMqxPZOinlGWmi,https://api.spotify.com/v1/tracks/4qgSTpJskMqxPZOinlGWmi,https://api.spotify.com/v1/audio-analysis/4qgSTpJskMqxPZOinlGWmi,179305,4
Recuring Dream,0.548,0.361,5,-9.36,0,0.194,0.525,0.032,0.114,0.72,87.457,audio_features,6dB6YYgBOPtzt37Fa0M8Eh,spotify:track:6dB6YYgBOPtzt37Fa0M8Eh,https://api.spotify.com/v1/tracks/6dB6YYgBOPtzt37Fa0M8Eh,https://api.spotify.com/v1/audio-analysis/6dB6YYgBOPtzt37Fa0M8Eh,173296,4
Sucio Perro,0.486,0.551,4,-7.195,1,0.127,0.556,0,0.0913,0.501,206.88,audio_features,6UdHagfGroELYplwKiG215,spotify:track:6UdHagfGroELYplwKiG215,https://api.spotify.com/v1/tracks/6UdHagfGroELYplwKiG215,https://api.spotify.com/v1/audio-analysis/6UdHagfGroELYplwKiG215,230867,3
Piel a Piel,0.711,0.723,9,-5.28,1,0.0301,0.188,0,0.191,0.956,135.003,audio_features,10gtZptzstBhwc8G3L6Ao3,spotify:track:10gtZptzstBhwc8G3L6Ao3,https://api.spotify.com/v1/tracks/10gtZptzstBhwc8G3L6Ao3,https://api.spotify.com/v1/audio-analysis/10gtZptzstBhwc8G3L6Ao3,233240,4
Quiero Estar Contigo,0.751,0.664,1,-7.757,0,0.0418,0.017,2.44e-06,0.112,0.574,150.025,audio_features,7iIn1RX1Zhj3fl6Rvukobx,spotify:track:7iIn1RX1Zhj3fl6Rvukobx,https://api.spotify.com/v1/tracks/7iIn1RX1Zhj3fl6Rvukobx,https://api.spotify.com/v1/audio-analysis/7iIn1RX1Zhj3fl6Rvukobx,224800,4
After Dark,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,audio_features,2LKOHdMsL0K9KwcPRlJK2v,spotify:track:2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/tracks/2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/audio-analysis/2LKOHdMsL0K9KwcPRlJK2v,259147,4
Déjala Que Vuelva (feat. Manuel Turizo),0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,audio_features,1j6xOGusnyXq3l6IryKF3G,spotify:track:1j6xOGusnyXq3l6IryKF3G,https://api.spotify.com/v1/tracks/1j6xOGusnyXq3l6IryKF3G,https://api.spotify.com/v1/audio-analysis/1j6xOGusnyXq3l6IryKF3G,220117,4
where the sun shines,0.555,0.138,5,-21.503,1,0.0337,0.917,0.487,0.154,0.083,119.997,audio_features,6mMffiWawy9tnUw5RYdIOj,spotify:track:6mMffiWawy9tnUw5RYdIOj,https://api.spotify.com/v1/tracks/6mMffiWawy9tnUw5RYdIOj,https://api.spotify.com/v1/audio-analysis/6mMffiWawy9tnUw5RYdIOj,177058,4
Acho Puñeta - Reggae Remix,0.621,0.745,7,-5.369,1,0.265,0.189,1.29e-06,0.124,0.831,73.649,audio_features,3wTF8x41fGiusgpQGBEBVW,spotify:track:3wTF8x41fGiusgpQGBEBVW,https://api.spotify.com/v1/tracks/3wTF8x41fGiusgpQGBEBVW,https://api.spotify.com/v1/audio-analysis/3wTF8x41fGiusgpQGBEBVW,292000,4
バイバイ YESTERDAY - TVsize,0.608,0.922,0,-3.833,1,0.0642,0.102,0,0.128,0.961,180.014,audio_features,7jbP24xMUC7DWknjqFbhlr,spotify:track:7jbP24xMUC7DWknjqFbhlr,https://api.spotify.com/v1/tracks/7jbP24xMUC7DWknjqFbhlr,https://api.spotify.com/v1/audio-analysis/7jbP24xMUC7DWknjqFbhlr,89001,4
Sign,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,audio_features,5Ohxk2dO5COHF1krpoPigN,spotify:track:5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/tracks/5Ohxk2dO5COHF1krpoPigN,https://api.spotify.com/v1/audio-analysis/5Ohxk2dO5COHF1krpoPigN,340707,4
Midnight City,0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,audio_features,1eyzqe2QqGZUmfcPZtrIyt,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,241440,4
I Feel Alive - Spanish Version,0.775,0.84,5,-3.521,0,0.0544,0.0173,0,0.158,0.881,129.996,audio_features,2yw68a67ywXxsmeZDGjWJo,spotify:track:2yw68a67ywXxsmeZDGjWJo,https://api.spotify.com/v1/tracks/2yw68a67ywXxsmeZDGjWJo,https://api.spotify.com/v1/audio-analysis/2yw68a67ywXxsmeZDGjWJo,203467,4
Tu Sin Mi,0.803,0.418,9,-5.751,0,0.0318,0.143,0,0.0524,0.784,83.965,audio_features,0gWa0Y7I6Y78QWjuudv58R,spotify:track:0gWa0Y7I6Y78QWjuudv58R,https://api.spotify.com/v1/tracks/0gWa0Y7I6Y78QWjuudv58R,https://api.spotify.com/v1/audio-analysis/0gWa0Y7I6Y78QWjuudv58R,245056,4
