,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,El Color de Tus Ojos,2019-06-30 01:01,Agapornis,El Color de Tus Ojos,15513,2019-06-30 01:01:00,0.765,0.339,8,-8.965,1,0.0365,0.278,0.0,0.131,0.864,123.95,audio_features,1l77YWrGUp3qX3NS1rz7lq,spotify:track:1l77YWrGUp3qX3NS1rz7lq,https://api.spotify.com/v1/tracks/1l77YWrGUp3qX3NS1rz7lq,https://api.spotify.com/v1/audio-analysis/1l77YWrGUp3qX3NS1rz7lq,202560,4
1,hearts that melt,2019-07-01 02:08,Kasper Lindmark,hearts that melt,126324,2019-07-01 02:08:00,0.728,0.0793,9,-24.352,1,0.0747,0.847,0.891,0.177,0.219,76.027,audio_features,7LPLcfyDuZgOoaYu50lFRy,spotify:track:7LPLcfyDuZgOoaYu50lFRy,https://api.spotify.com/v1/tracks/7LPLcfyDuZgOoaYu50lFRy,https://api.spotify.com/v1/audio-analysis/7LPLcfyDuZgOoaYu50lFRy,126324,4
2,slopes,2019-07-01 02:10,jhfly,slopes,97482,2019-07-01 02:10:00,0.783,0.0898,11,-15.483,0,0.0891,0.877,0.907,0.093,0.0957,74.987,audio_features,3dhsXcYsa5dStmDD9W0CFl,spotify:track:3dhsXcYsa5dStmDD9W0CFl,https://api.spotify.com/v1/tracks/3dhsXcYsa5dStmDD9W0CFl,https://api.spotify.com/v1/audio-analysis/3dhsXcYsa5dStmDD9W0CFl,179201,3
3,Memories,2019-07-01 02:11,.Fuelh,Memories,84023,2019-07-01 02:11:00,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,audio_features,2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,189486,4
4,Old Roots New Trees,2019-07-01 02:13,Made in M,Old Roots New Trees,92250,2019-07-01 02:13:00,0.857,0.146,4,-10.946,1,0.33,0.838,0.954,0.109,0.776,82.9,audio_features,703Y8dw2MMfEodrw5D6hDd,spotify:track:703Y8dw2MMfEodrw5D6hDd,https://api.spotify.com/v1/tracks/703Y8dw2MMfEodrw5D6hDd,https://api.spotify.com/v1/audio-analysis/703Y8dw2MMfEodrw5D6hDd,92250,4
5,Rotom,2019-07-01 02:15,Masked Man,Rotom,132022,2019-07-01 02:15:00,0.812,0.0175,11,-14.177,1,0.224,0.904,0.893,0.122,0.578,80.012,audio_features,0pIvv7PZvKixLzC8EMxcq8,spotify:track:0pIvv7PZvKixLzC8EMxcq8,https://api.spotify.com/v1/tracks/0pIvv7PZvKixLzC8EMxcq8,https://api.spotify.com/v1/audio-analysis/0pIvv7PZvKixLzC8EMxcq8,132023,4
6,Dropped My Cassette Tape in the Bath Tub,2019-07-01 02:19,A L E X,Dropped My Cassette Tape in the Bath Tub,228072,2019-07-01 02:19:00,0.765,0.228,0,-20.152,1,0.0643,0.848,0.931,0.237,0.0892,119.992,audio_features,1RWfVUAZBC62EWlCrzQQGC,spotify:track:1RWfVUAZBC62EWlCrzQQGC,https://api.spotify.com/v1/tracks/1RWfVUAZBC62EWlCrzQQGC,https://api.spotify.com/v1/audio-analysis/1RWfVUAZBC62EWlCrzQQGC,228073,4
7,happy place,2019-07-01 02:21,Nohidea,happy place,115200,2019-07-01 02:21:00,0.81,0.438,0,-9.958,1,0.582,0.82,0.00123,0.0783,0.647,76.922,audio_features,4ea0Jv1pGjkukZTLSnDrQc,spotify:track:4ea0Jv1pGjkukZTLSnDrQc,https://api.spotify.com/v1/tracks/4ea0Jv1pGjkukZTLSnDrQc,https://api.spotify.com/v1/audio-analysis/4ea0Jv1pGjkukZTLSnDrQc,139400,4
8,try,2019-07-01 02:22,Brenky,try,97142,2019-07-01 02:22:00,0.673,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.998,audio_features,1jF7IL57ayN4Ity3jQqGu0,spotify:track:1jF7IL57ayN4Ity3jQqGu0,https://api.spotify.com/v1/tracks/1jF7IL57ayN4Ity3jQqGu0,https://api.spotify.com/v1/audio-analysis/1jF7IL57ayN4Ity3jQqGu0,247907,4
9,We're in Night Skies,2019-07-01 02:24,Ambulo,We're in Night Skies,120937,2019-07-01 02:24:00,0.506,0.141,2,-11.431,0,0.0861,0.844,0.874,0.106,0.308,80.028,audio_features,4pdMTC8KeCyIJ5fMEKwnym,spotify:track:4pdMTC8KeCyIJ5fMEKwnym,https://api.spotify.com/v1/tracks/4pdMTC8KeCyIJ5fMEKwnym,https://api.spotify.com/v1/audio-analysis/4pdMTC8KeCyIJ5fMEKwnym,120937,4
